"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"109"	9	53	55	7	7	1	5	995.0887218	1232.91755548	19	301	1	40	50301	0	3	8	12	1	1.04	41.6	0	615472.44	0	0	0	1524.15	220.5	1744.65
"110"	9	53	55	7	7	1	5	995.0887218	1232.91755548	19	401	1	120	50401	0	1	8	12	1	1.04	124.8	0	1846417.33	0	0	0	1524.15	220.5	1744.65
"111"	9	53	56	5	3	1	5	1034.61562998	1281.89149915	19	301	1	50	50301	0	3	8	6	1	1.04	52	0	399950.15	0	0	0	2575	171.5	2746.5
"112"	9	53	56	5	7	1	5	1034.61562998	1281.89149915	19	101	1	400	50101	0	1	9	4	1	1.03	412	0	2112557.19	0	0	0	1478.46	274.89	1753.35
"113"	9	53	57	3	5	1	5	907.55540166	1124.46354054	19	401	1	140	50401	999999.99	1	8	6	1	1.04	145.6	11.65	982331.35	78600	0	1	1715.9	0	1715.9
"114"	9	53	59	0	3	1	5	456.01724448	565.00657077	19	701	1	10	50701	0	1	7	12	1	1.05	10.5	0	71190.83	0	0	0	1931.8	264.24	2196.04
"115"	9	53	61	1	13	1	5	959.92009544	1189.34353449	19	301	1	150	50301	0	1	9	2	1	1.03	154.5	0	367507.15	0	0	0	5624.59	542.4	6166.99
"116"	9	53	62	0	7	1	5	897.85650567	1112.44658279	19	301	1	250	50301	999999.99	1	9	2	1	1.03	257.5	20.6	572909.99	45832.8	0	1	3234.25	468.9	3703.15
"117"	9	53	63	8	12	1	5	471.17241379	583.78386559	19	101	1	80	50101	0	3	12	2	1	1.01	80.8	0	94339.47	0	0	0	629.38	33.11	662.48
"118"	9	53	63	8	6	1	5	471.17241379	583.78386559	19	301	1	100	50301	0	3	12	6	1	1.01	101	0	353773.02	0	0	0	4523.8	172.11	4695.91
"119"	9	53	63	8	6	1	5	471.17241379	583.78386559	19	1501	1	60	51501	0	3	12	6	1	1.01	60.6	0	212263.81	0	0	0	4523.8	172.11	4695.91
"120"	9	53	65	4	2	1	5	757.86200194	938.99302278	19	301	1	50	50301	0	3	11	12	1	1.01	50.5	0	569029.77	0	0	0	18401.67	0	18401.67
"121"	9	53	66	2	1	1	5	535.79338148	663.84941529	19	2501	1	550	52501	999999.99	1	11	12	1	1.01	555.5	44.44	4425220.2	354017.62	0	1	1716.37	252.5	1968.87
"122"	9	53	66	2	7	1	5	535.79338148	663.84941529	19	101	1	415	50101	0	1	12	12	1	1.01	419.15	0	3339029.79	0	0	0	660.28	325.24	985.51
"123"	9	53	67	0	10	1	5	513.26873065	635.9413134	19	301	1	80	50301	0	3	12	12	1	1.01	80.8	0	616608.7	0	0	0	4817.32	421	5238.32
"124"	9	53	67	0	9	1	5	513.26873065	635.9413134	19	301	1	60	50301	0	1	10	2	1	1.02	61.2	0	77839.22	0	0	0	2898.5	67.33	2965.83
"125"	9	53	69	7	8	1	5	1127.19468092	1396.59718786	19	301	1	207	50301	0	3	12	12	1	1.01	209.07	0	3503838.89	0	0	0	15722	403.83	16125.83
"126"	9	53	70	0	1	1	5	792.37921727	981.75994378	19	101	1	50	50101	0	3	11	12	1	1.01	50.5	0	594946.53	0	0	0	1771.4	593.07	2364.47
"127"	9	53	70	0	13	1	5	792.37921727	981.75994378	19	1501	1	50	51501	0	1	1	6	1	1	50	0	294527.98	0	0	0	2950.78	418.88	3369.67
