"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"121"	7	53	15	8	3	1	3	453.29347319	561.63181095	11	99901	1	7000	0	0	1	1.08	7560	4245936.49	0	6092.27	400.41	6492.68	2101
"122"	7	53	15	8	3	1	3	453.29347319	561.63181095	12	101	1	33500	0	0	1	1.06	35510	19943545.61	0	6092.27	400.41	6492.68	0
"123"	7	53	15	8	4	1	3	453.29347319	561.63181095	10	501	1	230	2	2	1	1.06	243.8	273851.67	0	11013.07	431.2	11444.27	8303
"124"	7	53	15	8	5	1	3	453.29347319	561.63181095	10	501	1	999999.99	3	6	1	1.04	266.24	897173.12	1	1268.24	587.88	1856.12	8202
"125"	7	53	15	8	6	1	3	453.29347319	561.63181095	10	501	3	101	4	4	1	1.04	105.04	235975.22	0	1965.05	219.99	2185.04	8303
"126"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	501	3	1560	0	0	1	1.1	1716	963760.19	0	1965.05	219.99	2185.04	2101
"127"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	601	3	560	0	0	1	1.1	616	345965.2	0	1965.05	219.99	2185.04	2101
"128"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	1101	3	580	0	0	1	1.05	609	342033.77	0	1965.05	219.99	2185.04	2101
"129"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	2201	3	450	0	0	1	1.1	495	278007.75	0	1965.05	219.99	2185.04	2101
"130"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	2301	3	250	0	0	1	1.1	275	154448.75	0	1965.05	219.99	2185.04	2101
"131"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	2901	3	380	0	0	1	1.05	399	224091.09	0	1965.05	219.99	2185.04	2101
"132"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	401	3	150	0	0	1	1.1	165	92669.25	0	1965.05	219.99	2185.04	2101
"133"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	101	3	770	0	0	1	1.1	847	475702.14	0	1965.05	219.99	2185.04	2101
"134"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	2801	3	230	0	0	1	1.1	253	142092.85	0	1965.05	219.99	2185.04	2101
"135"	7	53	15	8	6	1	3	453.29347319	561.63181095	11	301	3	395	0	0	1	1.1	434.5	244029.02	0	1965.05	219.99	2185.04	2101
"136"	7	53	15	8	7	1	3	453.29347319	561.63181095	10	501	3	26	6	6	1	1.03	26.78	90243	0	2058.15	445.61	2503.76	8303
"137"	7	53	16	6	1	1	3	1044.89207584	1294.62404271	10	501	1	44	4	12	1	1.04	45.76	710903.95	0	3832.5	829.34	4661.84	8202
"138"	7	53	16	6	1	1	3	1044.89207584	1294.62404271	12	401	1	300	0	0	1	1.07	321	415574.32	0	3832.5	829.34	4661.84	0
"139"	7	53	16	6	1	1	3	1044.89207584	1294.62404271	10	401	1	225	4	12	1	1.06	238.5	3705214.01	0	3832.5	829.34	4661.84	8009
"140"	7	53	16	6	10	1	3	1044.89207584	1294.62404271	12	2201	1	50	0	0	1	1.06	53	68615.07	0	22906.81	664.28	23571.1	0
"141"	7	53	16	6	10	1	3	1044.89207584	1294.62404271	10	501	1	60	5	12	1	1.03	61.8	960093.19	0	22906.81	664.28	23571.1	8202
"142"	7	53	16	6	10	1	3	1044.89207584	1294.62404271	12	901	1	120	0	0	1	1.08	129.6	167783.28	0	22906.81	664.28	23571.1	0
"143"	7	53	16	6	10	1	3	1044.89207584	1294.62404271	10	401	1	229	5	12	1	1.06	242.74	3771084.48	0	22906.81	664.28	23571.1	8009
"144"	7	53	16	6	12	1	3	1044.89207584	1294.62404271	10	501	1	245	2	12	1	1.06	259.7	4034566.37	0	5461.32	994.63	6455.95	7304
"145"	7	53	16	6	13	1	3	1044.89207584	1294.62404271	10	501	1	112	6	12	1	1.03	115.36	1792173.95	0	1219.7	561.38	1781.08	8303
"146"	7	53	16	6	13	1	3	1044.89207584	1294.62404271	11	99901	1	1100	0	0	1	1.08	1188	1538013.36	0	1219.7	561.38	1781.08	7501
"147"	7	53	16	6	13	1	3	1044.89207584	1294.62404271	12	801	1	40	0	0	1	1.07	42.8	55409.91	0	1219.7	561.38	1781.08	0
"148"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	12	201	3	25000	0	0	1	1.05	26250	33983881.12	0	6808	569.91	7377.91	0
"149"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	12	2201	1	40	0	0	1	1.05	42	54374.21	0	6808	569.91	7377.91	0
"150"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	12	2101	1	80	0	0	1	1.04	83.2	107712.72	0	6808	569.91	7377.91	0
"151"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	11	1001	1	90	0	0	1	1.1	99	128167.78	0	6808	569.91	7377.91	7501
"152"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	11	701	1	400	0	0	1	1.1	440	569634.58	0	6808	569.91	7377.91	2104
"153"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	10	201	1	1431	5	7	1	1.03	1473.93	13357296.51	0	6808	569.91	7377.91	3701
"154"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	10	401	1	230	6	7	1	1.05	241.5	2188561.94	0	6808	569.91	7377.91	8009
"155"	7	53	16	6	15	1	3	1044.89207584	1294.62404271	10	501	1	410	1	7	1	1.07	438.7	3975660.97	0	6808	569.91	7377.91	8303
"156"	7	53	16	6	16	1	3	1044.89207584	1294.62404271	11	801	1	250	0	0	1	1.05	262.5	339838.81	0	1912.19	1704.13	3616.32	2101
